/home/fonwin/f9utws.block/logs/20190828/omstws.log.TwsNew.g4.txt
Count=1000|Abandoned=0|Rejected=0|Sending=1000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
811|20190828053224.340586|20190828053224.340598|20190828053224.340606|12|8|5|8|11
813|20190828053224.340590|20190828053224.340604|20190828053224.340608|14|4|4|6|2
815|20190828053224.340593|20190828053224.340606|20190828053224.340611|13|5|3|2|3
817|20190828053224.340600|20190828053224.340608|20190828053224.340613|8|5|7|2|2
819|20190828053224.340606|20190828053224.340613|20190828053224.340620|7|7|6|5|7
821|20190828053224.340609|20190828053224.340616|20190828053224.340623|7|7|3|3|3
823|20190828053224.340614|20190828053224.340621|20190828053224.340625|7|4|5|5|2
825|20190828053224.340619|20190828053224.340624|20190828053224.340628|5|4|5|3|3
827|20190828053224.340624|20190828053224.340635|20190828053224.340644|11|9|5|11|16
829|20190828053224.340629|20190828053224.340646|20190828053224.340653|17|7|5|11|9
831|20190828053224.340633|20190828053224.340647|20190828053224.340656|14|9|4|1|3
833|20190828053224.340638|20190828053224.340655|20190828053224.340659|17|4|5|8|3
835|20190828053224.340642|20190828053224.340657|20190828053224.340662|15|5|4|2|3
837|20190828053224.340648|20190828053224.340662|20190828053224.340670|14|8|6|5|8
839|20190828053224.340652|20190828053224.340664|20190828053224.340673|12|9|4|2|3
841|20190828053224.340658|20190828053224.340668|20190828053224.340675|10|7|6|4|2
843|20190828053224.340664|20190828053224.340675|20190828053224.340690|11|15|6|7|15
845|20190828053224.340668|20190828053224.340704|20190828053224.340719|36|15|4|29|29
847|20190828053224.340672|20190828053224.340706|20190828053224.340721|34|15|4|2|2
849|20190828053224.340690|20190828053224.340707|20190828053224.340724|17|17|18|1|3
851|20190828053224.340699|20190828053224.340710|20190828053224.340726|11|16|9|3|2
853|20190828053224.340707|20190828053224.340718|20190828053224.340728|11|10|8|8|2
855|20190828053224.340728|20190828053224.340759|20190828053224.340768|31|9|21|41|40
857|20190828053224.340750|20190828053224.340762|20190828053224.340771|12|9|22|3|3
859|20190828053224.340758|20190828053224.340778|20190828053224.340787|20|9|8|16|16
861|20190828053224.340763|20190828053224.340781|20190828053224.340789|18|8|5|3|2
863|20190828053224.340774|20190828053224.340793|20190828053224.340801|19|8|11|12|12
865|20190828053224.340788|20190828053224.340809|20190828053224.340817|21|8|14|16|16
867|20190828053224.340804|20190828053224.340826|20190828053224.340835|22|9|16|17|18
869|20190828053224.340822|20190828053224.340836|20190828053224.340844|14|8|18|10|9
871|20190828053224.340831|20190828053224.340846|20190828053224.340855|15|9|9|10|11
873|20190828053224.340839|20190828053224.340856|20190828053224.340864|17|8|8|10|9
875|20190828053224.340851|20190828053224.340866|20190828053224.340876|15|10|12|10|12
877|20190828053224.340859|20190828053224.340875|20190828053224.340884|16|9|8|9|8
879|20190828053224.340871|20190828053224.340885|20190828053224.340894|14|9|12|10|10
881|20190828053224.340878|20190828053224.340904|20190828053224.340912|26|8|7|19|18
